time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:48.695;77;1.24088542;-1.05899523;2.70784505;-4.69512939;3.27835083;8.28125000
2022-12-01T08:35:48.705;77;1.32395833;-1.10227865;2.70889757;-4.31716919;3.44696045;8.21609497
2022-12-01T08:35:48.715;77;1.38549262;-1.13466797;2.73038194;-4.04098511;3.61877441;8.22082520
2022-12-01T08:35:48.725;77;1.42635634;-1.16540799;2.77290582;-3.70529175;3.87481689;8.00201416
2022-12-01T08:35:48.735;77;1.42161458;-1.23982205;2.80620660;-3.28674316;4.33639526;7.39807129
2022-12-01T08:35:48.745;77;1.30316840;-1.28375651;2.82205946;-3.12072754;4.43664551;7.83462524
2022-12-01T08:35:48.755;77;1.13254123;-1.24360894;2.83743490;-2.83645630;4.62539673;8.06076050
2022-12-01T08:35:48.765;77;0.95771484;-1.20883247;2.82660590;-2.57461548;4.76242065;8.04977417
2022-12-01T08:35:48.775;77;0.78215061;-1.14002821;2.82000868;-2.40417480;4.63134766;8.13537598
2022-12-01T08:35:48.785;77;0.61526693;-1.08029514;2.82667101;-2.17803955;4.53170776;8.04656982
2022-12-01T08:35:48.795;77;0.46188151;-1.05295139;2.83818359;-1.98074341;4.39514160;7.91778564
2022-12-01T08:35:48.805;77;0.33037109;-1.06623264;2.84966363;-1.76010132;4.28604126;7.78671265
2022-12-01T08:35:48.815;77;0.22832031;-1.11136068;2.86013455;-1.50756836;4.24468994;7.74139404
2022-12-01T08:35:48.825;77;0.15939670;-1.17041016;2.85903863;-1.27380371;4.44473267;7.75039673
2022-12-01T08:35:48.835;77;0.09498698;-1.20104167;2.82185330;-1.00708008;4.60021973;7.72430420
2022-12-01T08:35:48.845;77;0.02623698;-1.21047092;2.74275174;-0.76965332;4.70550537;7.70324707
2022-12-01T08:35:48.855;77;-0.04136285;-1.21523438;2.65838759;-0.61477661;4.60891724;7.87979126
2022-12-01T08:35:48.865;77;-0.09550781;-1.21264106;2.60759549;-0.47653198;4.51019287;7.95028687
2022-12-01T08:35:48.875;77;-0.11643880;-1.23754340;2.56178385;0.02929688;4.77539063;7.88619995
2022-12-01T08:35:48.885;77;-0.12157118;-1.24726563;2.50582682;0.14999390;4.79415894;8.02322388
2022-12-01T08:35:48.895;77;-0.12887370;-1.22778863;2.46636285;0.21286011;4.53186035;8.13705444
2022-12-01T08:35:48.905;77;-0.13567708;-1.20246311;2.45495877;0.50094604;4.32800293;8.24005127
2022-12-01T08:35:48.915;77;-0.12003038;-1.19144965;2.45019531;0.74676514;4.18395996;8.29055786
2022-12-01T08:35:48.925;77;-0.09544271;-1.17101780;2.45031467;0.93688965;4.11026001;8.38088989
2022-12-01T08:35:48.935;77;-0.06781684;-1.12071398;2.44347873;1.17630005;4.11117554;8.45428467
2022-12-01T08:35:48.945;77;-0.02241753;-1.05542535;2.41868490;1.48468018;4.16412354;8.41156006
2022-12-01T08:35:48.955;77;0.04845920;-0.98607856;2.37485894;1.75109863;4.20227051;8.41720581
2022-12-01T08:35:48.965;77;0.13011068;-0.90398220;2.31314019;1.93954468;4.30374146;8.43597412
2022-12-01T08:35:48.975;77;0.21290148;-0.80109592;2.23131510;2.07015991;4.40902710;8.48144531
2022-12-01T08:35:48.985;77;0.30252821;-0.69295790;2.13900825;2.32620239;4.48196411;8.46878052
2022-12-01T08:35:48.995;77;0.38956163;-0.59517144;2.05559896;2.57171631;4.50576782;8.49441528
2022-12-01T08:35:49.005;77;0.46240234;-0.51870660;1.98485243;2.70507813;4.51904297;8.48526001
